genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group,type
Pcsk7,170.0680402252657,23.41594238035539,2.003025495264886,11.69028673659433,1.4290333209459254e-31,9.283953141745362e-29,2,Significant
Phka1,21.898548833225657,21.36686901501515,2.243099482799609,9.525600259310476,1.6409083806200056e-21,1.6832265441202057e-19,2,Significant
D630023F18Rik,14.119205156390409,21.46891910992377,2.707545738446967,7.929291389270572,2.2039985279925847e-15,1.130419245015144e-13,3,Significant
Ifi206,42.03562681069257,-26.722365163399573,3.59429888514318,-7.434653048430357,1.0484277617298613e-13,4.7520597851430225e-12,3,Significant
Stx11,83.67193613877274,21.89490413579493,2.277616666392426,9.613076888164334,7.041278386828143e-22,7.222869250488447e-20,3,Significant
Prdm4,81.46668607046266,20.052022601861317,2.1579745802798547,9.292056906092421,1.5133498105759096e-20,1.3406903549147491e-18,3,Significant
Otogl,37.927057820656955,19.62473390308957,2.746575345624603,7.145164954004449,8.988788108069698e-13,3.649822504714133e-11,3,Significant
Nlrp3,37.817624920613774,20.200025290115896,1.9385219634410842,10.420323148806984,2.0027157183799765e-25,4.8791161689032174e-23,3,Significant
Pik3r5,117.3565228050164,18.890012499118573,2.336492871127841,8.084772152546835,6.228052183782799e-16,3.5701393253507864e-14,3,Significant
Wfdc21,113.61985354607968,23.710912519154352,2.653958397057318,8.93416887975515,4.1025031466169837e-19,3.075299474137116e-17,3,Significant
Itgb3,47.580684628531465,22.30179878521663,2.84567034711746,7.837098491681364,4.610763924554962e-15,2.3041997151173385e-13,3,Significant
2610307P16Rik,4594.919986170895,-7.797085964919838,0.9437155296865777,-8.262114715341571,1.43114064079505e-16,8.997719706159847e-15,3,Significant
Tent4a,53.084778200150126,20.581703900857807,2.0227104366703483,10.175309094038216,2.555872378854682e-24,4.1511627219898125e-22,3,Significant
Itga2,8.684687955167677,-30,3.7774983886817854,-7.9417638111737086,1.9932622449818893e-15,1.049964355532352e-13,3,Significant
Tert,9.487607407753918,-29.92468866204117,3.3488035066802855,-8.935934462068788,4.0375125864182305e-19,3.075299474137116e-17,3,Significant
BC147527,85.65960895932797,-6.583384948437144,0.8704672618287677,-7.5630471553934004,3.9373478149192743e-14,1.8271168788756346e-12,3,Significant
Dnah12,44.335157493924896,14.37405886790602,1.9860279555876277,7.237591408250349,4.567229223655392e-13,1.978117723756524e-11,3,Significant
Mtrf1,129.4738886724494,21.446718792865635,2.0815572487664005,10.303208718172737,6.814943270938999e-25,1.328232443506011e-22,3,Significant
Kif21a,15.187273671115468,-28.078972844233583,2.517178564413782,-11.154938803784392,6.773941191009359e-29,4.40080379375908e-26,3,Significant
Shank3,109.42585161904815,-23.363116367869516,2.245175815422985,-10.405918417336938,2.329983626868469e-25,5.045708987518495e-23,3,Significant
Xdh,86.21576898229377,22.60187727052685,2.2644884605094435,9.981007925049036,1.845821191157093e-23,2.406463909663746e-21,3,Significant
Lhcgr,25.476919800540582,-29.87399381291299,2.993184519376231,-9.980672297188889,1.8520758668525494e-23,2.406463909663746e-21,3,Significant
Zfp946,9.471928531559783,19.36683518359237,2.70588200167264,7.157309583943708,8.227575403985081e-13,3.411817970716367e-11,3,Significant
Trem1,102.3173426451508,22.961315353820545,2.6034745094368246,8.819489213584605,1.1498302399399803e-18,8.003639777296506e-17,3,Significant
B430306N03Rik,3.8720335256486864,19.540196911894284,2.2517380209993187,8.6778287392519875,4.0339586847606215e-18,2.6207284921994837e-16,3,Significant
Galm,87.21458424068982,22.64364331348307,2.599290124982241,8.711472065334677,2.999537157190466e-18,2.0158958342635237e-16,3,Significant
Nrg2,1002.4697288574088,10.386770843502164,1.3387471515574905,7.7585754945721135,8.588861147087091e-15,4.082851311139693e-13,3,Significant
Gm4951,28.482118616909936,-26.683545107323436,3.0098623002024683,-8.86537071995901,7.624994154568175e-19,5.504116150834583e-17,3,Significant
Pmaip1,59.01264303163577,21.695106117741673,2.700579794122408,8.033499385931608,9.473113011019026e-16,5.1286381273544666e-14,3,Significant
Myof,40.10333607236683,-29.033634437259707,2.6541609995033677,-10.938912312663899,7.509541154753527e-28,2.927219142122925e-25,3,Significant
